"","UNIQUE_CARRIER_NAME","YEAR","MONTH","sum_seats","sum_passengers","sum_distance","sum_airtime","Date","log_passenger","log_seats","log_airtime","log_distance"
"102","Air Charter, Inc d/b/a Air Flamenco",2015,12,11466,6752,1623,19952,2015-12-01,8.81774212957484,9.3472286240383,9.90113478695253,7.39264752072162
"103","Air China",2015,1,0,0,7280,0,2015-01-01,0,0,0,8.89302349439471
"104","Air China",2015,2,0,0,7280,0,2015-02-01,0,0,0,8.89302349439471
"105","Air China",2015,3,0,0,11406,0,2015-03-01,0,0,0,9.3419824810279
"106","Air China",2015,4,0,0,7280,0,2015-04-01,0,0,0,8.89302349439471
"107","Air China",2015,5,0,0,10402,0,2015-05-01,0,0,0,9.24984950507089
"108","Air China",2015,6,0,0,10126,0,2015-06-01,0,0,0,9.22296040333229
"109","Air China",2015,7,0,0,7280,0,2015-07-01,0,0,0,8.89302349439471
"110","Air China",2015,8,0,0,7280,0,2015-08-01,0,0,0,8.89302349439471
"111","Air China",2015,9,0,0,10666,0,2015-09-01,0,0,0,9.27491014262548
"112","Air China",2015,10,0,0,6232,0,2015-10-01,0,0,0,8.73761303680885
"113","Air China",2015,11,0,0,6232,0,2015-11-01,0,0,0,8.73761303680885
"114","Air China",2015,12,0,0,6232,0,2015-12-01,0,0,0,8.73761303680885
"115","Air Excursions LLC",2015,1,330,69,477,1461,2015-01-01,4.24849524204936,5.80211837537706,7.28756064030972,6.16961073249146
"116","Air Excursions LLC",2015,2,211,29,434,810,2015-02-01,3.40119738166216,5.35658627467201,6.69826805411541,6.07534603108868
"117","Air Excursions LLC",2015,3,359,86,473,1605,2015-03-01,4.46590811865458,5.88610403145016,7.38150189450671,6.16120732169508
"118","Air Excursions LLC",2015,4,662,182,752,2718,2015-04-01,5.20948615284142,6.49677499018586,7.90801944463247,6.62406522779989
"119","Air Excursions LLC",2015,5,946,286,714,3858,2015-05-01,5.65948221575962,6.85329909318608,8.25816336153762,6.57228254269401
"120","Air Excursions LLC",2015,6,1766,677,691,6396,2015-06-01,6.5191472879404,7.4770384723197,8.76358440945014,6.53958595561767
"121","Air Excursions LLC",2015,7,2066,926,818,7560,2015-07-01,6.83195356556585,7.63385355968177,8.93075873555827,6.70808408385307
"122","Air Excursions LLC",2015,8,2179,959,798,7716,2015-08-01,6.86693328446188,7.68708015578313,8.9511809664576,6.68336094576627
"123","Air Excursions LLC",2015,9,918,348,691,3446,2015-09-01,5.85507192220243,6.82328612235569,8.14525956651686,6.53958595561767
"124","Air Excursions LLC",2015,10,731,240,549,3000,2015-10-01,5.48479693349065,6.59578051396131,8.00670084544037,6.30991827822652
"125","Air Excursions LLC",2015,11,529,178,549,2076,2015-11-01,5.18738580584075,6.27287700654617,7.63867982387611,6.30991827822652
"126","Air Excursions LLC",2015,12,530,183,672,2202,2015-12-01,5.21493575760899,6.27476202124194,7.69757534680234,6.51174532964473
"127","Air Georgian",2015,1,81,32,4706,0,2015-01-01,3.49650756146648,4.40671924726425,0,8.45680604140114
"128","Air Georgian",2015,2,18,9,1768,0,2015-02-01,2.30258509299405,2.94443897916644,0,7.47816969415979
"129","Air Georgian",2015,3,50,16,456,0,2015-03-01,2.83321334405622,3.93182563272433,0,6.12468339089421
"130","Air Georgian",2015,4,50,25,436,0,2015-04-01,3.25809653802148,3.93182563272433,0,6.07993319509559
"131","Air Georgian",2015,5,18,17,77,0,2015-05-01,2.89037175789616,2.94443897916644,0,4.35670882668959
"132","Air Georgian",2015,6,140,0,1080,0,2015-06-01,0,4.94875989037817,0,6.98564181763921
"133","Air Georgian",2015,12,18,0,66,0,2015-12-01,0,2.94443897916644,0,4.20469261939097
"134","Air Sunshine Inc.",2015,1,1116,178,214,2480,2015-01-01,5.18738580584075,7.0184017990692,7.8164169836918,5.37063802812766
"135","Air Sunshine Inc.",2015,2,756,201,146,1540,2015-02-01,5.30826769740121,6.62936325343745,7.34018683532012,4.99043258677874
"136","Air Sunshine Inc.",2015,3,1116,169,214,2480,2015-03-01,5.13579843705026,7.0184017990692,7.8164169836918,5.37063802812766
"137","Air Sunshine Inc.",2015,4,1080,105,214,1800,2015-04-01,4.66343909411207,6.98564181763921,7.49609734517596,5.37063802812766
"138","Air Sunshine Inc.",2015,5,1116,379,214,2480,2015-05-01,5.94017125272043,7.0184017990692,7.8164169836918,5.37063802812766
"139","Air Sunshine Inc.",2015,6,1200,200,214,1800,2015-06-01,5.30330490805908,7.09090982207998,7.49609734517596,5.37063802812766
"140","Air Sunshine Inc.",2015,7,1116,211,214,2480,2015-07-01,5.35658627467201,7.0184017990692,7.8164169836918,5.37063802812766
"141","Air Sunshine Inc.",2015,8,1080,284,214,2400,2015-08-01,5.65248918026865,6.98564181763921,7.78364059622125,5.37063802812766
"142","Air Sunshine Inc.",2015,9,1080,133,214,1700,2015-09-01,4.89783979995091,6.98564181763921,7.43897159239586,5.37063802812766
"143","Air Sunshine Inc.",2015,10,1116,148,214,2480,2015-10-01,5.00394630594546,7.0184017990692,7.8164169836918,5.37063802812766
"144","Air Sunshine Inc.",2015,11,1080,103,214,4400,2015-11-01,4.64439089914137,6.98564181763921,8.38958706681109,5.37063802812766
"145","Air Sunshine Inc.",2015,12,1116,131,214,2480,2015-12-01,4.88280192258637,7.0184017990692,7.8164169836918,5.37063802812766
"146","Air Transport International",2015,1,0,0,24320,27237,2015-01-01,0,0,10.2123683361289,10.0990954536558
"147","Air Transport International",2015,2,0,0,35293,26503,2015-02-01,0,0,10.1850509439797,10.4714682568032
"148","Air Transport International",2015,3,0,0,25525,25996,2015-03-01,0,0,10.1657364257309,10.1474528195426
"149","Air Transport International",2015,4,0,0,29925,27315,2015-04-01,0,0,10.215227890081,10.3064829467434
"150","Air Transport International",2015,5,234,0,25620,25858,2015-05-01,0,5.45958551414416,10.1604139818179,10.1511676066952
"151","Air Transport International",2015,6,270,0,39586,51193,2015-06-01,0,5.6021188208797,10.8433776166606,10.5862560605177
"152","Air Transport International",2015,7,276,0,30122,35610,2015-07-01,0,5.62401750618734,10.480409857877,10.3130442785475
"153","Air Transport International",2015,8,246,0,33748,32577,2015-08-01,0,5.50938833662798,10.3913924929176,10.4267060662321
"154","Air Transport International",2015,9,186,0,25763,35382,2015-09-01,0,5.23110861685459,10.4739867577877,10.1567334476668
"155","Air Transport International",2015,10,264,0,34240,48389,2015-10-01,0,5.57972982598622,10.7870484597874,10.4411790354367
